prompt,response,timestamp,model,cost,feedback
"What are best practices for securing a REST API? Include authentication rate limiting and input validation.","Use OAuth 2.0 or JWT for auth. Implement rate limiting (100 req/min per IP). Validate and sanitize all inputs. Use HTTPS exclusively. Apply least privilege. Monitor suspicious activity.",2024-01-20 09:15:00,claude-3-5-sonnet-20241022,0.0334,positive
"Summarize customer feedback themes from 100 responses: speed (45 mentions) reliability (38) price (32) support (25)","Speed is the top concern (45% of responses) followed by reliability (38%) pricing (32%) and support quality (25%). Performance improvements should be the primary focus.",2024-01-22 10:30:00,gpt-4o,0.0267,positive
"Classify this transaction as fraudulent or legitimate: $2847 electronics purchase in user's home city using saved card within normal spending patterns","legitimate",2024-01-23 11:00:00,gpt-4o-mini,0.0014,positive
"Extract the key terms from this SaaS contract excerpt about data retention","Key terms: Data retained 90 days post-contract. Customer may export at any time. Deletion within 30 days of written request. Backups purged within 90 days.",2024-01-25 14:00:00,claude-3-5-sonnet-20241022,0.0245,
"Debug this Python code that raises a KeyError: data = {'name': 'Alice'}; print(data['age'])","The code raises KeyError because 'age' key doesn't exist. Fix: use data.get('age' default_value) or check 'age' in data before accessing.",2024-01-26 09:30:00,gpt-4o,0.0356,positive
"Explain the CAP theorem in distributed systems and when to prioritize CP vs AP","CAP theorem: distributed systems can guarantee only 2 of Consistency Availability Partition tolerance. Choose CP (banking) when accuracy is critical. Choose AP (social feeds) when availability matters more.",2024-01-28 10:45:00,gemini-1.5-pro,0.0398,positive
"Summarize this product roadmap into executive talking points: Q1 mobile redesign Q2 API v2 Q3 enterprise features Q4 international expansion","H1 focuses on platform modernization (mobile + API v2). H2 targets growth with enterprise capabilities and international markets. Full-year investment in scalability.",2024-01-30 09:00:00,gpt-4o,0.0312,positive
"A customer is threatening to cancel because of repeated outages. How should the account manager respond?","Acknowledge outage impact with genuine empathy. Provide resolution timeline. Offer service credits. Escalate to engineering for root cause summary. Request a call to discuss the partnership.",2024-02-01 11:15:00,claude-3-5-sonnet-20241022,0.0289,positive
"Classify these job titles by department: VP of Engineering / Head of Marketing / Senior Data Scientist / Account Executive","Engineering: VP of Engineering Senior Data Scientist\nMarketing: Head of Marketing\nSales: Account Executive",2024-02-03 10:00:00,gpt-4o-mini,0.0021,
"Extract all URLs from this text: Visit our docs at https://docs.example.com. Report bugs at https://github.com/example/repo/issues","URLs found:\n- https://docs.example.com\n- https://github.com/example/repo/issues",2024-02-05 14:30:00,gemini-1.5-flash,0.0009,positive
"Write unit tests for a function that calculates compound interest","def test_basic(): result = compound_interest(1000 0.05 10); assert abs(result - 1628.89) < 0.01\ndef test_zero_rate(): assert compound_interest(1000 0 5) == 1000",2024-02-07 09:45:00,gpt-4o,0.0478,positive
"What are the tradeoffs between microservices and monolithic architecture for a 10-person startup?","Start with a monolith. Microservices add operational complexity (service discovery distributed tracing deployments) that small teams struggle to manage. Extract services only when specific scaling needs emerge.",2024-02-10 10:30:00,claude-3-5-sonnet-20241022,0.0367,positive
"Summarize the risk factors section of this 10-K filing into 5 bullet points","• Heavy reliance on 3 customers = 60% revenue\n• EU regulatory changes could impact data ops\n• Key-person dependency on founders\n• Competitive pressure from incumbents\n• FX exposure from international expansion",2024-02-12 09:15:00,gpt-4o,0.0445,positive
"Classify these log entries by severity: Connection timeout after 30s / User login successful / Database corrupted / Low disk space warning","CRITICAL: Database corrupted\nWARNING: Connection timeout Low disk space\nINFO: User login successful",2024-02-14 11:00:00,gpt-4o-mini,0.0023,positive
"Extract the pricing information from this vendor proposal: Implementation fee $15000. Monthly license $2500 for 50 seats. Additional seats $45/month. 20% annual discount.","Implementation: $15000 one-time\nMonthly: $2500 (up to 50 seats)\nAdditional seats: $45/month\nAnnual discount: 20%",2024-02-16 14:45:00,claude-3-haiku-20240307,0.0018,positive
"Help me write a customer apology email for a 4-hour service outage that affected 500 enterprise clients","Subject: Service Restoration & Our Apology. We sincerely apologize for the 4-hour disruption. Root cause has been addressed and preventive measures implemented. Your account will be credited one week of service.",2024-02-18 09:30:00,gpt-4o,0.0523,positive
"What is the difference between horizontal and vertical scaling? When should you use each?","Horizontal adds machines; vertical upgrades hardware. Use horizontal for stateless high-availability services. Use vertical for stateful systems or when software doesn't support distribution.",2024-02-20 10:15:00,gemini-1.5-pro,0.0356,
"Summarize this NPS survey: 40% promoters 35% passives 25% detractors. Top themes: easy to use (promoters) slow performance (detractors) missing features (passives).","NPS Score: 15 (below industry average of 32). Performance issues driving detractors. Prioritize speed improvements then address feature gaps.",2024-02-22 11:30:00,gpt-4o,0.0278,positive
"Extract all company names mentioned: We compared Salesforce HubSpot and Pipedrive before selecting Microsoft Dynamics.","Companies: Salesforce, HubSpot, Pipedrive, Microsoft Dynamics",2024-02-24 14:00:00,gpt-4o-mini,0.0013,positive
"Write a Python decorator that retries a function up to 3 times with exponential backoff","import time\nimport functools\ndef retry(max_attempts=3 base_delay=1.0):\n    def decorator(func):\n        @functools.wraps(func)\n        def wrapper(*args **kwargs):\n            for attempt in range(max_attempts):\n                try: return func(*args **kwargs)\n                except Exception:\n                    if attempt == max_attempts - 1: raise\n                    time.sleep(base_delay * (2 ** attempt))\n        return wrapper\n    return decorator",2024-02-26 09:00:00,gpt-4o,0.0467,positive
"A high-value customer wants a feature not on our roadmap. How should the CSM respond?","Acknowledge with genuine interest. Clarify use case and business impact. Explain roadmap process. Log as formal feature request with priority weighting. Set realistic timeline expectations.",2024-02-28 10:45:00,claude-3-5-sonnet-20241022,0.0301,positive
"Classify these transactions: $500 grocery store / $12000 jewelry purchase at 3am / $45 restaurant / $8900 wire transfer to new recipient","Low risk: $500 grocery $45 restaurant\nHigh risk: $12000 jewelry at 3am $8900 wire transfer to new recipient",2024-03-01 11:00:00,gpt-4o-mini,0.0025,positive
